data

tradedate;tradetime;secid;pr_open;pr_high;pr_low;pr_close;pr_std;vol;val;trades;pr_vwap;pr_change;trades_b;trades_s;val_b;val_s;vol_b;vol_s;disb;pr_vwap_b;pr_vwap_s;SYSTIME
2024-05-17;11:15:00;SBER;321.72;321.72;320.77;320.8;0;146245;469692488;2515;321.17;-0.286;548;1967;78774503;390917984;24544;121701;-0.66;320.95;321.21;2024-05-17 11:15:12
2024-05-17;11:20:00;SBER;320.8;320.82;320.23;320.79;0;68236;218734006;1260;320.56;-0.0031;580;680;89398307;129335699;27887;40349;-0.18;320.57;320.54;2024-05-17 11:20:12
2024-05-17;11:25:00;SBER;320.79;320.86;320.56;320.61;0;40599;130219098;1179;320.74;-0.0561;389;790;65046803;65172294;20279;20320;-0;320.76;320.73;2024-05-17 11:25:12
2024-05-17;11:30:00;SBER;320.63;320.63;320.3;320.4;0;27483;88076022;748;320.47;-0.0717;218;530;16527329;71548693;5156;22327;-0.62;320.55;320.46;2024-05-17 11:30:12
2024-05-17;11:35:00;SBER;320.4;320.42;320.02;320.35;0;57970;185621655;1367;320.2;-0.0156;579;788;56767163;128854492;17728;40242;-0.39;320.21;320.2;2024-05-17 11:35:11
2024-05-17;11:40:00;SBER;320.34;321;320.34;321;0;39796;127612791;1094;320.67;0.206;844;250;94471903;33140888;29459;10337;0.48;320.69;320.6;2024-05-17 11:40:11
2024-05-17;11:45:00;SBER;321;321.21;320.97;321.05;0;34013;109204176;639;321.07;0.0156;383;256;59631578;49572597;18572;15441;0.09;321.08;321.05;2024-05-17 11:45:11
2024-05-17;11:50:00;SBER;321.04;321.31;320.97;321.16;0;31207;100204276;503;321.1;0.0374;223;280;37021417;63182859;11529;19678;-0.26;321.12;321.08;2024-05-17 11:50:12
2024-05-17;11:55:00;SBER;321.17;321.18;320.88;321.08;0;13534;43447530;432;321.03;-0.028;242;190;17889176;25558354;5572;7962;-0.18;321.05;321;2024-05-17 11:55:12
2024-05-17;12:00:00;SBER;321.12;321.14;320.88;320.89;0;16822;53998974;332;321;-0.0716;140;192;12192808;41806166;3798;13024;-0.55;321.03;320.99;2024-05-17 12:00:12
2024-05-17;12:05:00;SBER;320.88;320.88;320.69;320.71;0;22559;72360698;423;320.76;-0.053;161;262;20562931;51797766;6411;16148;-0.43;320.74;320.77;2024-05-17 12:05:11
2024-05-17;12:10:00;SBER;320.71;320.88;320.7;320.88;0;7063;22654358;216;320.75;0.053;128;88;11319481;11334877;3529;3534;-0;320.76;320.74;2024-05-17 12:10:11
2024-05-17;12:15:00;SBER;320.84;321.11;320.84;321.07;0;8599;27603279;218;321.01;0.0717;162;56;13835649;13767629;4310;4289;0;321.01;321;2024-05-17 12:15:11
2024-05-17;12:20:00;SBER;321.06;321.26;320.98;321.25;0;10873;34917583;348;321.14;0.0592;265;83;29159700;5757883;9080;1793;0.67;321.14;321.13;2024-05-17 12:20:12
2024-05-17;12:25:00;SBER;321.25;321.3;321.23;321.3;0;6691;21495325;235;321.26;0.0156;189;46;18260474;3234851;5684;1007;0.7;321.26;321.24;2024-05-17 12:25:12
2024-05-17;12:30:00;SBER;321.3;321.3;321.23;321.25;0;8119;26083653;174;321.27;-0.0156;126;48;17583248;8500405;5473;2646;0.35;321.27;321.25;2024-05-17 12:30:12
2024-05-17;12:35:00;SBER;321.25;321.28;321.25;321.28;0;9373;30111578;160;321.26;0.0093;102;58;8725534;21386044;2716;6657;-0.42;321.26;321.26;2024-05-17 12:35:11
2024-05-17;12:40:00;SBER;321.27;321.38;321.27;321.38;0;11279;36239224;203;321.3;0.0342;141;62;27969105;8270119;8705;2574;0.54;321.3;321.29;2024-05-17 12:40:11
2024-05-17;12:45:00;SBER;321.38;321.49;321.36;321.41;0;7856;25250226;271;321.41;0.0093;163;108;14795105;10455121;4603;3253;0.17;321.42;321.4;2024-05-17 12:45:11
2024-05-17;12:50:00;SBER;321.4;321.42;321.4;321.41;0;4889;15713584;193;321.41;0.0031;119;74;8472424;7241160;2636;2253;0.08;321.41;321.4;2024-05-17 12:50:11
